,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
1408,TXN_7406393,unknown,5.0,1.5,7.5,credit card,takeaway,2023-06-18
1409,TXN_5226635,cookie,4.0,1.0,4.0,credit card,takeaway,2023-02-01
1410,TXN_5469063,coffee,2.0,2.0,4.0,unknown,takeaway,2023-02-24
1411,TXN_9278992,smoothie,4.0,4.0,16.0,cash,takeaway,2023-12-15
1412,TXN_4369292,cake,1.0,3.0,3.0,credit card,takeaway,2023-10-09
1413,TXN_6011884,tea,5.0,1.5,7.5,unknown,unknown,2023-12-25
1415,TXN_3912727,tea,5.0,1.5,7.5,digital wallet,takeaway,2023-04-13
1416,TXN_1951569,salad,2.0,5.0,10.0,digital wallet,unknown,2023-02-27
1417,TXN_6983139,salad,2.0,5.0,10.0,credit card,takeaway,2023-12-18
1418,TXN_6787560,cake,3.0,3.0,9.0,unknown,unknown,2023-07-13
1419,TXN_5977414,cake,2.0,3.0,6.0,credit card,in-store,2023-08-06
1420,TXN_8517379,unknown,4.0,3.0,12.0,digital wallet,takeaway,2023-09-23
1421,TXN_5485384,sandwich,5.0,4.0,20.0,unknown,unknown,2023-03-04
1422,TXN_9285663,cookie,4.0,1.0,4.0,unknown,unknown,2023-11-18
1423,TXN_9074075,juice,5.0,3.0,15.0,credit card,unknown,2023-08-14
1424,TXN_8050034,cookie,4.0,1.0,4.0,unknown,in-store,2023-07-29
1425,TXN_8842223,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-01-01
1426,TXN_5121322,sandwich,3.0,4.0,12.0,unknown,in-store,2023-12-17
1427,TXN_3091582,sandwich,5.0,4.0,20.0,unknown,unknown,2023-11-28
1428,TXN_8550184,juice,3.0,3.0,9.0,digital wallet,takeaway,2023-04-05
1429,TXN_7604352,coffee,3.0,2.0,6.0,unknown,takeaway,2023-12-19
1430,TXN_6899248,unknown,5.0,3.0,15.0,unknown,unknown,2023-12-13
1431,TXN_2773491,salad,5.0,5.0,25.0,cash,unknown,2023-11-14
1432,TXN_3071617,unknown,4.0,1.0,4.0,credit card,unknown,2023-12-15
1433,TXN_3712466,cake,5.0,3.0,15.0,digital wallet,unknown,2023-04-10
1434,TXN_3670298,unknown,4.0,1.0,4.0,credit card,takeaway,2023-02-04
1435,TXN_4901854,cookie,5.0,1.0,5.0,unknown,unknown,2023-04-23
1437,TXN_6962242,juice,1.0,3.0,3.0,digital wallet,takeaway,2023-06-30
1438,TXN_5780931,tea,4.0,1.5,6.0,digital wallet,unknown,2023-10-06
1439,TXN_4563679,coffee,4.0,2.0,8.0,unknown,in-store,2023-09-11
1440,TXN_6290642,coffee,4.0,2.0,8.0,unknown,takeaway,2023-12-23
1441,TXN_6177865,juice,5.0,3.0,15.0,digital wallet,unknown,2023-01-30
1442,TXN_8115752,smoothie,2.0,4.0,8.0,digital wallet,unknown,2023-06-27
1443,TXN_9253398,sandwich,2.0,4.0,8.0,unknown,takeaway,2023-12-14
1444,TXN_3116227,cake,1.0,3.0,3.0,digital wallet,unknown,2023-05-30
1445,TXN_2494138,cookie,3.0,1.0,3.0,cash,unknown,2023-01-10
1446,TXN_4889269,cake,2.0,3.0,6.0,cash,unknown,2023-02-19
1448,TXN_6105240,juice,5.0,3.0,15.0,unknown,in-store,2023-11-27
1449,TXN_8808162,smoothie,4.0,4.0,16.0,digital wallet,unknown,2023-05-07
1450,TXN_4548466,tea,4.0,1.5,6.0,credit card,takeaway,2023-11-30
1451,TXN_3195257,unknown,1.0,5.0,5.0,cash,unknown,2023-10-09
1452,TXN_9835676,cookie,2.0,1.0,2.0,digital wallet,unknown,2023-03-30
1453,TXN_9728454,juice,4.0,3.0,12.0,digital wallet,takeaway,2023-01-03
1454,TXN_5907854,juice,3.0,3.0,9.0,unknown,in-store,2023-11-11
1455,TXN_8685846,tea,5.0,1.5,7.5,credit card,unknown,2023-12-27
1456,TXN_1726774,salad,3.0,5.0,15.0,unknown,unknown,2023-11-16
1457,TXN_2594430,coffee,1.0,2.0,2.0,unknown,unknown,2023-05-18
1458,TXN_5750278,salad,3.0,5.0,15.0,cash,takeaway,2023-06-08
1459,TXN_6714931,juice,3.0,3.0,9.0,unknown,unknown,2023-07-02
1460,TXN_5537740,cake,3.0,3.0,9.0,credit card,takeaway,2023-04-30
1461,TXN_9433769,cake,4.0,3.0,12.0,digital wallet,unknown,2023-08-13
1462,TXN_5944206,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-05-12
1463,TXN_9212178,juice,1.0,3.0,3.0,credit card,takeaway,2023-11-18
1464,TXN_2915856,tea,1.0,1.5,1.5,unknown,in-store,2023-06-19
1465,TXN_4376214,salad,5.0,5.0,25.0,unknown,unknown,2023-04-26
1466,TXN_9201212,smoothie,4.0,4.0,16.0,digital wallet,takeaway,2023-06-08
1468,TXN_7055260,sandwich,4.0,4.0,16.0,digital wallet,in-store,2023-06-20
1469,TXN_4773465,coffee,5.0,2.0,10.0,digital wallet,takeaway,2023-11-28
1470,TXN_9087344,tea,5.0,1.5,7.5,cash,unknown,2023-07-29
1471,TXN_1757340,cake,2.0,3.0,6.0,credit card,in-store,2023-12-29
1472,TXN_9975321,salad,2.0,5.0,10.0,digital wallet,unknown,2023-03-25
1474,TXN_1681216,cake,3.0,3.0,9.0,unknown,unknown,2023-03-23
1475,TXN_3835043,juice,2.0,3.0,6.0,cash,unknown,2023-12-29
1476,TXN_8366002,sandwich,2.0,4.0,8.0,credit card,unknown,2023-12-26
1477,TXN_9390740,cake,2.0,3.0,6.0,cash,in-store,2023-12-06
1478,TXN_4928254,cake,1.0,3.0,3.0,credit card,unknown,2023-12-22
1479,TXN_5191642,salad,5.0,5.0,25.0,cash,unknown,2023-04-15
1480,TXN_9117434,cake,1.0,3.0,3.0,unknown,in-store,2023-07-18
1481,TXN_2820788,unknown,5.0,1.0,5.0,unknown,unknown,2023-09-25
1482,TXN_3593060,smoothie,4.0,4.0,16.0,cash,unknown,2023-03-05
1483,TXN_7531745,cake,2.0,3.0,6.0,cash,unknown,2023-06-23
1484,TXN_1082421,salad,1.0,5.0,5.0,digital wallet,in-store,2023-12-19
1485,TXN_2148444,juice,2.0,3.0,6.0,cash,unknown,2023-11-27
1486,TXN_5402385,unknown,2.0,3.0,6.0,cash,in-store,2023-06-18
1488,TXN_9277146,cake,5.0,3.0,15.0,credit card,unknown,2023-07-11
1489,TXN_9333347,smoothie,5.0,4.0,20.0,cash,unknown,2023-09-10
1490,TXN_9127105,juice,3.0,3.0,9.0,cash,unknown,2023-03-04
1491,TXN_1417724,sandwich,2.0,4.0,8.0,digital wallet,unknown,2023-06-07
1492,TXN_6451377,salad,5.0,5.0,25.0,credit card,takeaway,2023-03-19
1493,TXN_2142961,coffee,5.0,2.0,10.0,credit card,takeaway,2023-09-21
1494,TXN_5927884,coffee,4.0,2.0,8.0,unknown,unknown,2023-12-21
1495,TXN_8588335,salad,4.0,5.0,20.0,credit card,unknown,2023-09-04
1496,TXN_6738350,juice,2.0,3.0,6.0,digital wallet,unknown,2023-11-02
1497,TXN_5575561,tea,4.0,1.5,6.0,digital wallet,takeaway,2023-02-13
1498,TXN_1007347,salad,4.0,5.0,20.0,digital wallet,in-store,2023-08-28
1499,TXN_8933459,juice,1.0,3.0,3.0,unknown,unknown,2023-12-31
1500,TXN_3678091,juice,3.0,3.0,9.0,cash,unknown,2023-09-07
1501,TXN_7692628,tea,2.0,1.5,3.0,cash,unknown,2023-05-01
1502,TXN_6731518,cookie,1.0,1.0,1.0,digital wallet,takeaway,2023-12-04
1503,TXN_3455702,salad,1.0,5.0,5.0,cash,takeaway,2023-03-23
1504,TXN_7794561,juice,4.0,3.0,12.0,credit card,in-store,2023-05-18
1505,TXN_8908193,smoothie,5.0,4.0,20.0,cash,unknown,2023-04-02
1506,TXN_7688625,coffee,1.0,2.0,2.0,credit card,in-store,2023-12-15
1507,TXN_7012065,coffee,3.0,2.0,6.0,unknown,unknown,2023-08-05
1508,TXN_4323570,unknown,1.0,1.0,1.0,cash,unknown,2023-03-04
1509,TXN_8831924,coffee,3.0,2.0,6.0,digital wallet,in-store,2023-07-12
1510,TXN_2865104,cake,5.0,3.0,15.0,unknown,in-store,2023-03-12
1511,TXN_1360998,cookie,2.0,1.0,2.0,cash,takeaway,2023-07-30
1512,TXN_4125921,juice,5.0,3.0,15.0,credit card,unknown,2023-01-26
1513,TXN_4657842,unknown,5.0,1.0,5.0,cash,takeaway,2023-09-29
1514,TXN_8149585,juice,1.0,3.0,3.0,credit card,unknown,2023-02-21
1515,TXN_9047278,tea,4.0,1.5,6.0,credit card,takeaway,2023-06-20
1516,TXN_8666003,smoothie,4.0,4.0,16.0,unknown,takeaway,2023-06-09
1517,TXN_7606512,cookie,5.0,1.0,5.0,cash,unknown,2023-12-03
1518,TXN_1819615,coffee,4.0,2.0,8.0,unknown,unknown,2023-06-03
1519,TXN_1931404,cake,5.0,3.0,15.0,unknown,in-store,2023-10-01
1520,TXN_4516901,tea,2.0,1.5,3.0,credit card,in-store,2023-09-05
1521,TXN_6817795,tea,1.0,1.5,1.5,cash,takeaway,2023-09-12
1522,TXN_4643515,unknown,1.0,4.0,4.0,digital wallet,in-store,2023-10-03
1523,TXN_9762385,tea,3.0,1.5,4.5,unknown,unknown,2023-05-19
1524,TXN_6809170,smoothie,4.0,4.0,16.0,cash,takeaway,2023-08-10
1525,TXN_7365744,cookie,4.0,1.0,4.0,cash,in-store,2023-08-20
1526,TXN_9847116,salad,3.0,5.0,15.0,cash,takeaway,2023-07-28
1527,TXN_8356338,salad,5.0,5.0,25.0,credit card,in-store,2023-08-06
1528,TXN_4413506,juice,4.0,3.0,12.0,digital wallet,in-store,2023-10-29
1529,TXN_1057209,unknown,5.0,1.0,5.0,credit card,in-store,2023-09-17
1530,TXN_9534685,salad,1.0,5.0,5.0,unknown,takeaway,2023-04-27
1531,TXN_4893692,salad,2.0,5.0,10.0,unknown,unknown,2023-01-02
1532,TXN_5680629,cake,2.0,3.0,6.0,unknown,takeaway,2023-04-30
1533,TXN_2494194,salad,5.0,5.0,25.0,digital wallet,unknown,2023-02-11
1535,TXN_4737392,sandwich,2.0,4.0,8.0,cash,in-store,2023-02-17
1536,TXN_9538738,coffee,4.0,2.0,8.0,cash,in-store,2023-09-25
1537,TXN_1854102,coffee,2.0,2.0,4.0,digital wallet,takeaway,2023-07-18
1538,TXN_3109692,juice,4.0,3.0,12.0,credit card,in-store,2023-06-21
1539,TXN_5395229,coffee,5.0,2.0,10.0,cash,unknown,2023-11-29
1540,TXN_8918902,coffee,5.0,2.0,10.0,unknown,unknown,2023-05-22
1541,TXN_8837375,sandwich,2.0,4.0,8.0,digital wallet,takeaway,2023-11-21
1542,TXN_3952218,salad,5.0,5.0,25.0,unknown,unknown,2023-04-07
1543,TXN_3225552,salad,1.0,5.0,5.0,unknown,in-store,2023-05-16
1544,TXN_7950226,tea,1.0,1.5,1.5,digital wallet,in-store,2023-10-13
1545,TXN_9086541,salad,3.0,5.0,15.0,cash,in-store,2023-02-15
1546,TXN_1817596,tea,2.0,1.5,3.0,unknown,in-store,2023-11-04
1547,TXN_7644786,cookie,3.0,1.0,3.0,credit card,takeaway,2023-01-20
1548,TXN_8017969,juice,1.0,3.0,3.0,cash,takeaway,2023-03-26
1549,TXN_6667388,cake,3.0,3.0,9.0,cash,in-store,2023-08-14
1550,TXN_3488611,tea,1.0,1.5,1.5,cash,unknown,2023-02-13
1552,TXN_3109334,smoothie,3.0,4.0,12.0,unknown,in-store,2023-04-06
1553,TXN_9425645,cake,3.0,3.0,9.0,credit card,takeaway,2023-03-19
1554,TXN_2461238,coffee,1.0,2.0,2.0,unknown,takeaway,2023-01-29
1555,TXN_4692976,juice,1.0,3.0,3.0,digital wallet,unknown,2023-11-06
1556,TXN_6747376,smoothie,3.0,4.0,12.0,digital wallet,in-store,2023-11-20
1557,TXN_3689335,juice,1.0,3.0,3.0,unknown,takeaway,2023-12-11
1558,TXN_9662568,tea,5.0,1.5,7.5,cash,unknown,2023-10-30
1560,TXN_5470087,salad,2.0,5.0,10.0,unknown,takeaway,2023-10-11
1561,TXN_3717372,juice,2.0,3.0,6.0,credit card,unknown,2023-02-15
1562,TXN_6727985,salad,5.0,5.0,25.0,credit card,in-store,2023-06-16
1563,TXN_1755661,salad,5.0,5.0,25.0,unknown,in-store,2023-07-14
1564,TXN_9899571,unknown,2.0,5.0,10.0,credit card,takeaway,2023-02-18
1565,TXN_5692316,smoothie,1.0,4.0,4.0,digital wallet,unknown,2023-06-22
1566,TXN_2062269,juice,4.0,3.0,12.0,digital wallet,takeaway,2023-09-08
1567,TXN_2160316,sandwich,1.0,4.0,4.0,unknown,in-store,2023-10-24
1568,TXN_4220743,sandwich,4.0,4.0,16.0,unknown,in-store,2023-10-22
1569,TXN_2726843,sandwich,1.0,4.0,4.0,unknown,in-store,2023-05-31
1570,TXN_9969283,sandwich,3.0,4.0,12.0,digital wallet,unknown,2023-10-26
1571,TXN_8540115,unknown,2.0,1.5,3.0,unknown,unknown,2023-06-26
1572,TXN_8313892,salad,3.0,5.0,15.0,credit card,takeaway,2023-11-29
1573,TXN_3131761,smoothie,1.0,4.0,4.0,unknown,takeaway,2023-10-18
1574,TXN_1243964,unknown,3.0,1.5,4.5,unknown,takeaway,2023-12-01
1575,TXN_1856112,salad,3.0,5.0,15.0,credit card,unknown,2023-06-08
1576,TXN_4532651,coffee,2.0,2.0,4.0,unknown,in-store,2023-09-13
1577,TXN_4083736,coffee,1.0,2.0,2.0,unknown,in-store,2023-08-21
1578,TXN_4493176,tea,3.0,1.5,4.5,unknown,unknown,2023-10-14
1579,TXN_6712994,coffee,3.0,2.0,6.0,cash,takeaway,2023-10-02
1580,TXN_1840566,coffee,4.0,2.0,8.0,unknown,unknown,2023-01-05
1581,TXN_6257776,juice,5.0,3.0,15.0,cash,in-store,2023-10-28
1582,TXN_9039165,sandwich,4.0,4.0,16.0,unknown,takeaway,2023-03-10
1584,TXN_3869150,cookie,3.0,1.0,3.0,cash,unknown,2023-03-26
1585,TXN_3604156,coffee,5.0,2.0,10.0,credit card,takeaway,2023-11-08
1586,TXN_2018236,coffee,5.0,2.0,10.0,cash,unknown,2023-04-19
1587,TXN_4430176,sandwich,4.0,4.0,16.0,credit card,takeaway,2023-08-27
1588,TXN_6073195,sandwich,3.0,4.0,12.0,credit card,takeaway,2023-09-13
1589,TXN_5245399,unknown,5.0,2.0,10.0,unknown,unknown,2023-12-25
1590,TXN_4178872,tea,1.0,1.5,1.5,credit card,unknown,2023-01-25
1591,TXN_8836650,smoothie,5.0,4.0,20.0,unknown,unknown,2023-05-22
1592,TXN_5882584,cake,5.0,3.0,15.0,unknown,in-store,2023-09-16
1593,TXN_4291132,cake,2.0,3.0,6.0,credit card,takeaway,2023-08-07
1594,TXN_1622123,cookie,2.0,1.0,2.0,cash,takeaway,2023-01-05
1595,TXN_2878078,cake,2.0,3.0,6.0,digital wallet,takeaway,2023-12-15
1596,TXN_7134579,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-06-06
1597,TXN_6921057,sandwich,4.0,4.0,16.0,digital wallet,takeaway,2023-07-10
1598,TXN_2335088,salad,4.0,5.0,20.0,cash,in-store,2023-10-27
1599,TXN_9778859,cookie,3.0,1.0,3.0,cash,takeaway,2023-06-05
1600,TXN_3850274,juice,5.0,3.0,15.0,unknown,unknown,2023-09-08
1601,TXN_4428448,cookie,4.0,1.0,4.0,unknown,unknown,2023-02-04
1602,TXN_1062822,juice,2.0,3.0,6.0,credit card,unknown,2023-06-28
1603,TXN_6386662,salad,5.0,5.0,25.0,credit card,takeaway,2023-12-04
1604,TXN_5491825,cake,4.0,3.0,12.0,cash,in-store,2023-06-09
1605,TXN_5330930,cake,1.0,3.0,3.0,unknown,in-store,2023-07-12
1606,TXN_5580933,smoothie,3.0,4.0,12.0,cash,takeaway,2023-10-19
1607,TXN_3326110,coffee,2.0,2.0,4.0,credit card,takeaway,2023-08-13
1608,TXN_5455079,salad,2.0,5.0,10.0,cash,in-store,2023-11-30
1609,TXN_5526475,tea,4.0,1.5,6.0,cash,in-store,2023-05-06
1610,TXN_3800253,cake,2.0,3.0,6.0,cash,takeaway,2023-01-15
1612,TXN_9169782,juice,5.0,3.0,15.0,credit card,unknown,2023-09-18
1613,TXN_4639621,coffee,2.0,2.0,4.0,unknown,in-store,2023-10-12
1614,TXN_4432823,unknown,5.0,4.0,20.0,unknown,in-store,2023-02-10
1615,TXN_8138157,unknown,2.0,4.0,8.0,cash,takeaway,2023-05-07
1616,TXN_4134478,juice,2.0,3.0,6.0,credit card,takeaway,2023-06-25
1618,TXN_4997327,coffee,2.0,2.0,4.0,unknown,in-store,2023-03-19
1620,TXN_4049949,cookie,1.0,1.0,1.0,unknown,takeaway,2023-11-06
1621,TXN_7296498,salad,5.0,5.0,25.0,credit card,takeaway,2023-05-19
1622,TXN_4706042,salad,5.0,5.0,25.0,unknown,in-store,2023-12-01
1623,TXN_2488987,tea,5.0,1.5,7.5,cash,in-store,2023-06-12
1624,TXN_6708156,tea,5.0,1.5,7.5,credit card,unknown,2023-11-26
1625,TXN_7616002,tea,2.0,1.5,3.0,unknown,in-store,2023-11-08
1626,TXN_1865735,smoothie,2.0,4.0,8.0,digital wallet,in-store,2023-09-22
1627,TXN_5396450,juice,3.0,3.0,9.0,digital wallet,unknown,2023-12-09
1628,TXN_5881757,sandwich,3.0,4.0,12.0,credit card,unknown,2023-08-15
1629,TXN_3404479,unknown,4.0,4.0,16.0,credit card,unknown,2023-08-23
1630,TXN_5342589,tea,2.0,1.5,3.0,digital wallet,unknown,2023-04-06
1631,TXN_1987212,smoothie,5.0,4.0,20.0,credit card,takeaway,2023-04-07
1632,TXN_5303275,cookie,4.0,1.0,4.0,cash,takeaway,2023-09-18
1633,TXN_9193760,salad,5.0,5.0,25.0,unknown,unknown,2023-01-20
1634,TXN_8541074,salad,4.0,5.0,20.0,unknown,in-store,2023-11-08
1635,TXN_1075183,tea,2.0,1.5,3.0,credit card,unknown,2023-01-09
1636,TXN_9316158,sandwich,5.0,4.0,20.0,cash,in-store,2023-10-31
1637,TXN_8207244,tea,5.0,1.5,7.5,cash,takeaway,2023-05-04
1638,TXN_2346001,unknown,2.0,5.0,10.0,digital wallet,takeaway,2023-08-21
1639,TXN_2814866,smoothie,1.0,4.0,4.0,digital wallet,in-store,2023-07-29
1640,TXN_8454044,coffee,5.0,2.0,10.0,credit card,unknown,2023-05-27
1641,TXN_8321092,unknown,2.0,3.0,6.0,credit card,unknown,2023-09-28
1642,TXN_2560137,cake,1.0,3.0,3.0,cash,takeaway,2023-10-13
1643,TXN_7350571,smoothie,1.0,4.0,4.0,credit card,in-store,2023-02-19
1644,TXN_3915802,coffee,3.0,2.0,6.0,cash,takeaway,2023-12-16
1645,TXN_5019143,coffee,5.0,2.0,10.0,cash,unknown,2023-02-21
1646,TXN_1785371,coffee,1.0,2.0,2.0,unknown,takeaway,2023-01-16
1647,TXN_6441650,cake,5.0,3.0,15.0,unknown,takeaway,2023-09-06
1648,TXN_2493262,cookie,2.0,1.0,2.0,credit card,takeaway,2023-01-03
1650,TXN_6038791,juice,2.0,3.0,6.0,digital wallet,in-store,2023-03-06
1651,TXN_1335337,tea,3.0,1.5,4.5,credit card,in-store,2023-09-06
1652,TXN_2275914,sandwich,2.0,4.0,8.0,unknown,takeaway,2023-10-24
1653,TXN_6258276,sandwich,5.0,4.0,20.0,credit card,unknown,2023-01-29
1654,TXN_2340312,cake,4.0,3.0,12.0,unknown,takeaway,2023-07-30
1655,TXN_6066433,tea,2.0,1.5,3.0,cash,unknown,2023-06-17
1656,TXN_1872922,sandwich,5.0,4.0,20.0,unknown,in-store,2023-07-16
1657,TXN_7730388,cookie,5.0,1.0,5.0,digital wallet,in-store,2023-09-09
1658,TXN_3330377,unknown,5.0,2.0,10.0,unknown,unknown,2023-05-08
1659,TXN_3147198,smoothie,2.0,4.0,8.0,digital wallet,unknown,2023-02-04
1660,TXN_6363897,salad,5.0,5.0,25.0,credit card,takeaway,2023-11-26
1661,TXN_1893222,smoothie,5.0,4.0,20.0,credit card,in-store,2023-12-20
1662,TXN_9262803,juice,5.0,3.0,15.0,digital wallet,unknown,2023-10-04
1665,TXN_6577035,smoothie,2.0,4.0,8.0,unknown,in-store,2023-05-20
1666,TXN_9970966,coffee,5.0,2.0,10.0,unknown,in-store,2023-09-09
1667,TXN_5624179,cookie,1.0,1.0,1.0,cash,takeaway,2023-10-26
1668,TXN_3450160,cake,4.0,3.0,12.0,credit card,in-store,2023-10-23
1669,TXN_4075432,sandwich,5.0,4.0,20.0,cash,in-store,2023-09-12
1670,TXN_2023802,cake,2.0,3.0,6.0,cash,in-store,2023-02-28
1671,TXN_5130399,cookie,3.0,1.0,3.0,unknown,unknown,2023-10-21
1672,TXN_6745832,coffee,2.0,2.0,4.0,credit card,unknown,2023-10-02
1673,TXN_7560989,sandwich,3.0,4.0,12.0,digital wallet,unknown,2023-06-16
1674,TXN_9367492,tea,2.0,1.5,3.0,cash,in-store,2023-06-19
1675,TXN_3115258,salad,1.0,5.0,5.0,unknown,takeaway,2023-12-06
1676,TXN_8182245,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-10-24
1677,TXN_3970335,juice,5.0,3.0,15.0,digital wallet,takeaway,2023-09-01
1678,TXN_6376630,unknown,2.0,3.0,6.0,cash,in-store,2023-01-24
1679,TXN_7100596,smoothie,5.0,4.0,20.0,credit card,in-store,2023-09-14
1680,TXN_1481116,tea,2.0,1.5,3.0,digital wallet,in-store,2023-02-26
1681,TXN_9454212,juice,5.0,3.0,15.0,cash,in-store,2023-11-19
1682,TXN_3648327,cake,1.0,3.0,3.0,digital wallet,takeaway,2023-08-17
1683,TXN_6188394,juice,5.0,3.0,15.0,credit card,in-store,2023-10-05
1684,TXN_2553803,juice,1.0,3.0,3.0,cash,in-store,2023-12-29
1685,TXN_5700545,salad,2.0,5.0,10.0,credit card,unknown,2023-05-25
1686,TXN_8018479,tea,1.0,1.5,1.5,digital wallet,takeaway,2023-09-15
1687,TXN_9465300,tea,2.0,1.5,3.0,credit card,unknown,2023-09-01
1688,TXN_3046108,tea,5.0,1.5,7.5,digital wallet,takeaway,2023-01-15
1689,TXN_5998419,juice,4.0,3.0,12.0,unknown,takeaway,2023-09-26
1690,TXN_4454198,tea,1.0,1.5,1.5,digital wallet,in-store,2023-08-22
1691,TXN_5855756,sandwich,1.0,4.0,4.0,credit card,in-store,2023-08-29
1692,TXN_5182399,unknown,3.0,2.0,6.0,digital wallet,takeaway,2023-09-08
1693,TXN_6758675,juice,1.0,3.0,3.0,credit card,in-store,2023-11-05
1694,TXN_1962275,coffee,5.0,2.0,10.0,credit card,takeaway,2023-05-26
1695,TXN_9530003,salad,1.0,5.0,5.0,digital wallet,unknown,2023-08-24
1696,TXN_2347596,juice,4.0,3.0,12.0,credit card,unknown,2023-12-27
1697,TXN_6215303,salad,4.0,5.0,20.0,unknown,takeaway,2023-08-20
1698,TXN_5524352,sandwich,1.0,4.0,4.0,unknown,unknown,2023-01-05
1699,TXN_6668414,cake,1.0,3.0,3.0,unknown,in-store,2023-12-29
1701,TXN_1525046,smoothie,2.0,4.0,8.0,cash,unknown,2023-12-02
1702,TXN_9867948,smoothie,2.0,4.0,8.0,digital wallet,unknown,2023-10-07
1703,TXN_8512466,unknown,5.0,3.0,15.0,unknown,unknown,2023-02-10
1704,TXN_9663990,juice,1.0,3.0,3.0,unknown,unknown,2023-01-06
1705,TXN_7681072,cookie,1.0,1.0,1.0,credit card,takeaway,2023-07-07
1706,TXN_3099191,salad,2.0,5.0,10.0,unknown,unknown,2023-05-19
1707,TXN_8789986,cake,2.0,3.0,6.0,cash,takeaway,2023-09-21
1708,TXN_8382825,coffee,5.0,2.0,10.0,cash,in-store,2023-01-20
1709,TXN_4486700,cake,2.0,3.0,6.0,digital wallet,takeaway,2023-02-08
1710,TXN_2668108,cookie,5.0,1.0,5.0,cash,unknown,2023-09-23
1711,TXN_5085328,coffee,4.0,2.0,8.0,digital wallet,takeaway,2023-02-03
1712,TXN_6023823,cookie,2.0,1.0,2.0,digital wallet,unknown,2023-04-20
1713,TXN_6541659,sandwich,3.0,4.0,12.0,unknown,takeaway,2023-01-29
1714,TXN_3203928,coffee,3.0,2.0,6.0,unknown,in-store,2023-12-04
1715,TXN_3443235,sandwich,5.0,4.0,20.0,unknown,unknown,2023-10-11
1716,TXN_6191769,salad,1.0,5.0,5.0,credit card,takeaway,2023-05-17
1717,TXN_6110386,smoothie,1.0,4.0,4.0,cash,in-store,2023-03-17
1718,TXN_7355635,juice,3.0,3.0,9.0,unknown,in-store,2023-12-21
1719,TXN_2944518,unknown,3.0,3.0,9.0,unknown,takeaway,2023-09-14
1720,TXN_9169536,cake,5.0,3.0,15.0,cash,in-store,2023-06-10
1721,TXN_8257774,cookie,5.0,1.0,5.0,cash,takeaway,2023-03-04
1722,TXN_3873718,unknown,1.0,5.0,5.0,cash,in-store,2023-03-07
1723,TXN_8767676,smoothie,1.0,4.0,4.0,unknown,unknown,2023-11-30
1724,TXN_1225638,cake,4.0,3.0,12.0,cash,takeaway,2023-05-28
1725,TXN_5050111,unknown,3.0,5.0,15.0,cash,in-store,2023-06-13
1726,TXN_5508620,sandwich,2.0,4.0,8.0,cash,in-store,2023-08-26
1727,TXN_7864080,tea,5.0,1.5,7.5,credit card,takeaway,2023-11-12
1728,TXN_6066883,cake,2.0,3.0,6.0,credit card,unknown,2023-12-21
1729,TXN_6034785,coffee,3.0,2.0,6.0,digital wallet,unknown,2023-06-17
1730,TXN_7818024,cake,3.0,3.0,9.0,unknown,unknown,2023-08-16
1731,TXN_2463115,sandwich,5.0,4.0,20.0,credit card,takeaway,2023-09-12
1732,TXN_9948425,cake,3.0,3.0,9.0,unknown,takeaway,2023-11-21
1733,TXN_2540440,unknown,2.0,1.5,3.0,digital wallet,unknown,2023-12-30
1734,TXN_2006923,salad,5.0,5.0,25.0,digital wallet,unknown,2023-05-31
1735,TXN_6762172,coffee,5.0,2.0,10.0,cash,takeaway,2023-01-19
1736,TXN_6638051,smoothie,2.0,4.0,8.0,cash,unknown,2023-11-05
1737,TXN_9834329,smoothie,1.0,4.0,4.0,cash,unknown,2023-09-17
1738,TXN_9172616,unknown,4.0,2.0,8.0,unknown,takeaway,2023-11-21
1739,TXN_8867300,smoothie,4.0,4.0,16.0,unknown,in-store,2023-05-06
1740,TXN_6987950,cake,4.0,3.0,12.0,credit card,unknown,2023-05-04
1741,TXN_9967728,coffee,4.0,2.0,8.0,unknown,unknown,2023-01-30
1742,TXN_5591967,sandwich,1.0,4.0,4.0,credit card,takeaway,2023-04-08
1743,TXN_5861158,sandwich,3.0,4.0,12.0,credit card,takeaway,2023-11-21
1744,TXN_7501002,coffee,1.0,2.0,2.0,digital wallet,unknown,2023-08-23
1745,TXN_2848654,smoothie,5.0,4.0,20.0,digital wallet,in-store,2023-03-15
1746,TXN_2406254,unknown,5.0,3.0,15.0,unknown,takeaway,2023-11-12
1747,TXN_3034652,juice,5.0,3.0,15.0,credit card,in-store,2023-11-04
1748,TXN_2710779,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-09-30
1749,TXN_2333576,tea,2.0,1.5,3.0,digital wallet,takeaway,2023-11-22
1750,TXN_6330369,juice,1.0,3.0,3.0,unknown,unknown,2023-01-25
1751,TXN_7852032,sandwich,1.0,4.0,4.0,cash,unknown,2023-03-19
1752,TXN_7189368,sandwich,2.0,4.0,8.0,credit card,unknown,2023-01-22
1753,TXN_6306655,unknown,4.0,1.0,4.0,digital wallet,takeaway,2023-01-22
1755,TXN_6607568,coffee,2.0,2.0,4.0,cash,in-store,2023-03-24
